DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,TR,2021,1254059,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,UK,2012,1337450,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,UK,2013,1351359,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,UK,2014,1383770,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,UK,2015,1418180,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,UK,2016,1450185,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,UK,2017,1489993,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,UK,2018,1546215,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,UK,2019,1606272,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,UK,2020,1486865,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,US,2012,9010674,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,US,2013,9105040,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,US,2014,9458928,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,US,2015,9796908,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,US,2016,9796245,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,US,2017,10151508,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,US,2018,10569358,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,US,2019,11127070,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,US,2020,10686288,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,US,2021,11803062,
